data,data_dados,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_estrangeiro,confirmados_novos,recuperados,obitos,internados,internados_uci,lab,suspeitos,vigilancia,n_confirmados,cadeias_transmissao,transmissao_importada,confirmados_0_9_f,confirmados_0_9_m,confirmados_10_19_f,confirmados_10_19_m,confirmados_20_29_f,confirmados_20_29_m,confirmados_30_39_f,confirmados_30_39_m,confirmados_40_49_f,confirmados_40_49_m,confirmados_50_59_f,confirmados_50_59_m,confirmados_60_69_f,confirmados_60_69_m,confirmados_70_79_f,confirmados_70_79_m,confirmados_80_plus_f,confirmados_80_plus_m,sintomas_tosse,sintomas_febre,sintomas_dificuldade_respiratoria,sintomas_cefaleia,sintomas_dores_musculares,sintomas_fraqueza_generalizada,confirmados_f,confirmados_m,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,obitos_estrangeiro,recuperados_arsnorte,recuperados_arscentro,recuperados_arslvt,recuperados_arsalentejo,recuperados_arsalgarve,recuperados_acores,recuperados_madeira,recuperados_estrangeiro,obitos_0_9_f,obitos_0_9_m,obitos_10_19_f,obitos_10_19_m,obitos_20_29_f,obitos_20_29_m,obitos_30_39_f,obitos_30_39_m,obitos_40_49_f,obitos_40_49_m,obitos_50_59_f,obitos_50_59_m,obitos_60_69_f,obitos_60_69_m,obitos_70_79_f,obitos_70_79_m,obitos_80_plus_f,obitos_80_plus_m,obitos_f,obitos_m
26-02-2020,26-02-2020 00:00,0,0,0,0,0,0,0,0,,0,0,0,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-02-2020,27-02-2020 00:00,0,0,0,0,0,0,0,0,,0,0,0,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-02-2020,28-02-2020 00:00,0,0,0,0,0,0,0,0,,0,0,0,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-02-2020,29-02-2020 00:00,0,0,0,0,0,0,0,0,,0,0,0,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2020,01-03-2020 00:00,0,0,0,0,0,0,0,0,,0,0,0,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-03-2020,02-03-2020 00:00,2,2,0,0,0,0,0,0,,2,0,0,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-03-2020,03-03-2020 16:00,4,2,1,1,0,0,0,0,,2,0,0,,,,101,,,,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,,0.25,0.5,0.25,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-03-2020,04-03-2020 17:00,6,3,1,2,0,0,0,0,,2,0,0,,,,117,81,,,4,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0.5,0.83,,0.5,0.5,0.17,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2020,05-03-2020 17:00,9,5,1,3,0,0,0,0,,3,0,0,9,,,147,213,,,5,0,0,0,0,0,0,0,2,1,3,0,1,0,2,0,0,0,0,0.67,0.89,0.11,0.33,0.56,0.33,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03-2020,06-03-2020 17:00,13,8,1,4,0,0,0,0,,4,0,0,13,,30,181,354,,5,5,0,0,0,0,0,0,0,2,1,5,0,2,0,2,1,0,0,0,0.62,0.85,0.15,0.23,0.46,0.31,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-03-2020,07-03-2020 17:00,21,15,1,5,0,0,0,0,,8,0,0,21,,47,224,412,,5,5,0,0,1,2,0,1,1,2,2,6,0,2,1,2,1,0,0,0,0.71,0.62,0.14,0.43,0.48,0.43,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-03-2020,08-03-2020 17:30,30,22,1,6,0,1,0,0,,9,0,0,30,,56,281,447,,4,6,0,0,3,2,1,1,1,3,4,6,0,3,1,3,2,0,0,0,0.77,0.6,0.17,0.47,0.57,0.47,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-03-2020,09-03-2020 18:45,39,27,1,9,0,2,0,0,,9,0,0,38,,67,339,496,,6,7,0,0,3,3,1,1,2,4,7,7,1,3,1,3,3,0,0,0,0.69,0.54,0.13,0.46,0.49,0.38,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-03-2020,10-03-2020 10:00,41,27,2,10,0,2,0,0,,2,0,0,40,,83,375,667,,6,8,0,0,3,3,1,1,2,4,7,7,1,3,1,5,3,0,0,0,0.71,0.56,0.15,0.46,0.51,0.41,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-03-2020,11-03-2020 00:00,59,36,3,17,0,3,0,0,,18,0,0,57,,83,471,3066,,6,12,0,1,6,5,1,3,5,4,9,7,1,4,1,5,3,2,0,2,0.66,0.47,0.1,0.42,0.46,0.31,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-03-2020,12-03-2020 00:00,78,44,5,23,0,5,0,0,1,19,0,0,69,,133,637,4923,,6,19,0,1,7,5,1,6,6,8,10,11,1,8,1,6,3,2,0,2,0.65,0.46,0.1,0.37,0.4,0.24,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-03-2020,13-03-2020 00:00,112,53,6,46,0,6,0,0,1,34,0,0,107,,172,1308,5674,,11,33,0,1,10,5,3,8,9,15,14,14,2,12,3,8,3,3,0,2,0.65,0.48,0.12,0.39,0.37,0.24,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2020,14-03-2020 00:00,169,77,8,73,0,7,0,0,4,57,1,0,114,10,126,1704,5011,,11,39,0,1,13,6,7,12,17,20,19,22,5,21,3,9,4,7,1,2,0.54,0.39,0.1,0.33,0.34,0.21,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2020,15-03-2020 00:00,245,103,10,116,0,10,1,0,5,76,2,0,139,9,281,2271,4592,1746,14,47,0,1,17,8,12,16,25,30,27,26,16,27,6,12,5,12,3,2,0.53,0.31,0.09,0.19,0.18,0.13,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-03-2020,16-03-2020 00:00,331,138,31,142,0,13,1,0,5,86,3,0,139,18,374,2908,4592,2203,18,47,2,1,17,10,17,21,30,35,32,36,21,31,11,26,10,18,8,4,0.53,0.31,0.09,0.19,0.18,0.13,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-03-2020,17-03-2020 00:00,448,196,51,180,0,14,1,0,6,117,3,1,206,17,323,4030,6852,3259,19,61,2,1,19,13,21,34,37,51,47,46,32,41,18,34,13,22,12,5,0.33,0.27,0.1,0.17,0.19,0.14,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-03-2020,18-03-2020 00:00,642,289,74,243,2,21,3,1,9,194,3,1,89,20,351,5067,6656,4074,24,62,13,3,21,15,42,45,55,62,75,63,50,42,49,28,32,17,11,19,0.31,0.24,0.1,0.17,0.17,0.12,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-03-2020,19-03-2020 00:00,785,381,86,278,2,25,3,1,9,143,3,3,89,20,488,6061,8091,4788,24,71,14,3,22,17,51,51,75,71,89,78,60,61,35,61,23,36,21,17,0.25,0.2,0.08,0.14,0.14,0.1,390,395,0,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
